count,country_1,lin,sum,percentage,month
2,United Kingdom,B.3.1,2975,0.06722689075630252,2020-01
6,United Kingdom,B.31,2975,0.20168067226890757,2020-01
1,United Kingdom,B.35,2975,0.03361344537815126,2020-01
8,United Kingdom,B.39,2975,0.2689075630252101,2020-01
38,United Kingdom,B.40,2975,1.2773109243697478,2020-01
1,United Kingdom,B.47,2975,0.03361344537815126,2020-01
1,United Kingdom,B.58,2975,0.03361344537815126,2020-01
1,United Kingdom,C.18,2975,0.03361344537815126,2020-01
4,United Kingdom,C.27,2975,0.13445378151260504,2020-01
5,United Kingdom,C.30,2975,0.16806722689075632,2020-01
3,United Kingdom,C.36,2975,0.10084033613445378,2020-01
1,United Kingdom,N.2,2975,0.03361344537815126,2020-01
42,United Kingdom,None,2975,1.411764705882353,2020-01
4,United Kingdom,P.2,2975,0.13445378151260504,2020-01
1,United Kingdom,W.4,2975,0.03361344537815126,2020-01
8,United Kingdom,B.28,2975,0.2689075630252101,2020-01
1,United Kingdom,B.27,2975,0.03361344537815126,2020-01
1,United Kingdom,B.23,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.91,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.36.8,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.36.9,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.362.2,2975,0.03361344537815126,2020-01
6,United Kingdom,B.1.391,2975,0.20168067226890757,2020-01
1,United Kingdom,B.1.395,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.416.1,2975,0.03361344537815126,2020-01
3,United Kingdom,B.1.439,2975,0.10084033613445378,2020-01
1,United Kingdom,B.1.441,2975,0.03361344537815126,2020-01
22,United Kingdom,B.1.36.36,2975,0.7394957983193278,2020-01
1,United Kingdom,B.1.460,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.469,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.470,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.491,2975,0.03361344537815126,2020-01
3,United Kingdom,B.1.516,2975,0.10084033613445378,2020-01
2,United Kingdom,B.1.523,2975,0.06722689075630252,2020-01
